Description,Format,AddressMod,Size,Type of Instruction,Affected Flags,Example
Move data from source to destination register,"MOV Rd, Rs",Register,1 byte,Data Transfer (Move),None,"MOV A, B"
Move data to/from memory via HL,"MOV Rd, M / MOV M, Rs",Register Indirect (HL),1 byte,Data Transfer (Move),None,"MOV A, M"
Move immediate 8-bit to register/memory,"MVI R/M, data8",Immediate,2 bytes,Data Transfer (Load Immediate),None,"MVI C, 56H / MVI M, 3EH"
Load accumulator from memory (direct),LDA addr16,Direct,3 bytes,Data Transfer (Load),None,LDA 2050H
Store accumulator to memory (direct),STA addr16,Direct,3 bytes,Data Transfer (Store),None,STA 2050H
Load accumulator indirect using BC/DE pair,LDAX B / LDAX D,Register Indirect (BC/DE),1 byte,Data Transfer (Load Indirect),None,LDAX B
Store accumulator indirect using BC/DE pair,STAX B / STAX D,Register Indirect (BC/DE),1 byte,Data Transfer (Store Indirect),None,STAX D
"Load HL pair direct from memory (L -> L, H -> H)",LHLD addr16,Direct,3 bytes,Data Transfer (Load Register Pair),None,LHLD 2050H
"Store HL pair direct to memory (L -> addr, H -> addr+1)",SHLD addr16,Direct,3 bytes,Data Transfer (Store Register Pair),None,SHLD 2050H
Load immediate 16-bit into register pair,"LXI Rp, data16",Immediate (16-bit),3 bytes,Data Transfer (Load Register Pair Immediate),None,"LXI H, 3540H"
Exchange contents of DE and HL,XCHG,Implicit,1 byte,Data Transfer (Exchange),None,XCHG
Exchange stack top with HL (exchange TOS & HL),XTHL,Implicit / Stack,1 byte,Data Transfer (Exchange with Stack),None,XTHL
Copy HL to SP (set stack pointer),SPHL,Implicit,1 byte,Stack/Control,None,SPHL
Push register pair onto stack (PUSH PSW also pushes flags),PUSH Rp / PUSH PSW,Implicit / Stack,1 byte,Stack,None,PUSH B / PUSH PSW
Pop stack into register pair (POP PSW loads flags),POP Rp / POP PSW,Implicit / Stack,1 byte,Stack,None (but POP PSW restores flags),POP D / POP PSW
Copy HL contents into PC (perform jump via HL),PCHL,Implicit,1 byte,Branching / Control,None,PCHL
Add register/memory to Accumulator,ADD R / ADD M,Register / Register Indirect,1 byte,Arithmetic (Add),"All flags (S,Z,AC,P,CY)",ADD C
Add immediate 8-bit to Accumulator,ADI data8,Immediate,2 bytes,Arithmetic (Add Immediate),All flags,ADI 56H
Add register/memory and carry to Accumulator,ADC R / ADC M,Register / Register Indirect,1 byte,Arithmetic (Add with Carry),All flags,ADC M
Add immediate 8-bit and carry to Accumulator,ACI data8,Immediate,2 bytes,Arithmetic (Add Immediate with Carry),All flags,ACI 56H
Add 16-bit register pair to HL (HL = HL + Rp),DAD Rp,Register Pair,1 byte,Arithmetic (16-bit Add),Carry (CY) only,DAD B
Subtract register/memory from Accumulator,SUB R / SUB M,Register / Register Indirect,1 byte,Arithmetic (Subtract),All flags,SUB C
Subtract immediate 8-bit from Accumulator,SUI data8,Immediate,2 bytes,Arithmetic (Subtract Immediate),All flags,SUI 56H
Subtract register/memory and borrow (carry) from Accumulator,SBB R / SBB M,Register / Register Indirect,1 byte,Arithmetic (Subtract with Borrow),All flags,SBB M
Subtract immediate 8-bit and carry from Accumulator,SBI data8,Immediate,2 bytes,Arithmetic (Subtract Immediate with Borrow),All flags,SBI 56H
Increment register or memory by 1,INR R / INR M,Register / Register Indirect,1 byte,Arithmetic (Increment),All except Carry (CY),INR B / INR M
Decrement register or memory by 1,DCR R / DCR M,Register / Register Indirect,1 byte,Arithmetic (Decrement),All except Carry (CY),DCR M
Increment register pair by 1 (16-bit),INX Rp,Register Pair,1 byte,Arithmetic (Increment Pair),None,INX B
Decrement register pair by 1 (16-bit),DCX Rp,Register Pair,1 byte,Arithmetic (Decrement Pair),None,DCX B
Decimal Adjust Accumulator for BCD after addition,DAA,Implicit,1 byte,Arithmetic (BCD Adjust),All flags,DAA
Logical AND register/memory with Accumulator,ANA R / ANA M,Register / Register Indirect,1 byte,Logical (AND),All flags,ANA B
Logical AND immediate with Accumulator,ANI data8,Immediate,2 bytes,Logical (AND Immediate),All flags,ANI 32H
Logical OR register/memory with Accumulator,ORA R / ORA M,Register / Register Indirect,1 byte,Logical (OR),All flags,ORA B
Logical OR immediate with Accumulator,ORI data8,Immediate,2 bytes,Logical (OR Immediate),All flags,ORI 32H
Logical Exclusive-OR register/memory with Accumulator,XRA R / XRA M,Register / Register Indirect,1 byte,Logical (XOR),All flags,XRA B
