# 8085 Instruction Table — Short

> Abbreviations: Reg = Register, Imm = Immediate, Dir = Direct, Imp = Implicit, RP = Register Pair, Stk = Stack, I/O = Input/Output.  
> Flags: S, Z, AC, P, CY. "—" = none.

| Instruction | Format | Addressing Mode | Size | Type | Affected Flags | Example |
|---|---:|---|---:|---|---|---|
| MOV Rd, Rs | Reg | Reg | 1 | Data | — | `MOV A,B` |
| MOV Rd, M / MOV M, Rs | Reg | RegInd(HL) | 1 | Data | — | `MOV A,M` |
| MVI R/M, data8 | Imm | Immediate | 2 | Data | — | `MVI C,56H` |
| LDA addr16 | Dir | Direct | 3 | Data | — | `LDA 2050H` |
| STA addr16 | Dir | Direct | 3 | Data | — | `STA 2050H` |
| LDAX B / LDAX D | Reg | RegInd(BC/DE) | 1 | Data | — | `LDAX B` |
| STAX B / STAX D | Reg | RegInd(BC/DE) | 1 | Data | — | `STAX D` |
| LHLD addr16 | Dir | Direct | 3 | Data | — | `LHLD 2050H` |
| SHLD addr16 | Dir | Direct | 3 | Data | — | `SHLD 2050H` |
| LXI Rp, data16 | RP | Immediate (16-bit) | 3 | Data | — | `LXI H,3540H` |
| XCHG | Imp | Imp | 1 | Data | — | `XCHG` |
| XTHL | Imp/Stk | Stack | 1 | Data | — | `XTHL` |
| SPHL | Imp | Imp | 1 | Control | — | `SPHL` |
| PUSH Rp / PUSH PSW | Stk | Stack | 1 | Stack | — | `PUSH B` |
| POP Rp / POP PSW | Stk | Stack | 1 | Stack | — | `POP D` |
| PCHL | Imp | Imp | 1 | Control | — | `PCHL` |
| ADD R / ADD M | Reg | Reg / RegInd(HL) | 1 | Arith | `S,Z,AC,P,CY` | `ADD C` |
| ADI data8 | Imm | Immediate | 2 | Arith | `S,Z,AC,P,CY` | `ADI 56H` |
| ADC R / ADC M | Reg | Reg / RegInd(HL) | 1 | Arith | `S,Z,AC,P,CY` | `ADC M` |
| ACI data8 | Imm | Immediate | 2 | Arith | `S,Z,AC,P,CY` | `ACI 56H` |
| DAD Rp | RP | Reg Pair | 1 | Arith (16-bit) | `CY` | `DAD B` |
| SUB R / SUB M | Reg | Reg / RegInd(HL) | 1 | Arith | `S,Z,AC,P,CY` | `SUB C` |
| SUI data8 | Imm | Immediate | 2 | Arith | `S,Z,AC,P,CY` | `SUI 56H` |
| SBB R / SBB M | Reg | Reg / RegInd(HL) | 1 | Arith | `S,Z,AC,P,CY` | `SBB M` |
| SBI data8 | Imm | Immediate | 2 | Arith | `S,Z,AC,P,CY` | `SBI 56H` |
| INR R / INR M | Reg | Reg / RegInd(HL) | 1 | Arith | `S,Z,AC,P` | `INR B` |
| DCR R / DCR M | Reg | Reg / RegInd(HL) | 1 | Arith | `S,Z,AC,P` | `DCR M` |
| INX Rp | RP | Reg Pair | 1 | Arith | — | `INX B` |
| DCX Rp | RP | Reg Pair | 1 | Arith | — | `DCX B` |
| DAA | Imp | Imp | 1 | Arith (BCD) | `S,Z,AC,P,CY` | `DAA` |
